URL,Company Name,Sector,LTP,P/E Ratio,Market Cap,Enterprise Value,No. of Shares,P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth
https://ticker.finology.in/company/REFEX,Refex Industries Ltd.,Industrial  Gases & Fuels,493.50,N/A,506.45,486.2,600,6.27,2,"0.1
                                %",78.75,32.9 Cr.,96.2 Cr.,57.12 %,9.99,-15.87
https://ticker.finology.in/company/KPITTECH,KPIT Technologies Ltd.,IT - Software,1461.40,N/A,1470.85,1450,1928.75,23.32,10,"0.46
                                %",62.68,122.3 Cr.,0.23 Cr.,39.47 %,14.71,32.98
https://ticker.finology.in/company/NGLFINE,NGL Fine-Chem Ltd.,Pharmaceuticals & Drugs,1801.05,N/A,1855.8,1800,2822.5,4.11,5,"0.1
                                %",438.06,1.6 Cr.,34 Cr.,72.74 %,62.38,19.6
https://ticker.finology.in/company/HGINFRA,H.G. Infra Engineering Ltd.,Engineering - Construction,1494.85,N/A,1521,1482.05,1880,3.84,10,"0.1
                                %",389.49,199.29 Cr.,451.21 Cr.,71.78 %,91.09,15.92
https://ticker.finology.in/company/INOXINDIA,Inox India Ltd.,Engineering - Industrial Equipments,1120.95,N/A,1133.1,1115.85,1507.2,13.07,2,"0.98
                                %",85.75,7.36 Cr.,4.87 Cr.,75 %,20.99,14.26
https://ticker.finology.in/company/KOHINOOR,Kohinoor Foods Ltd.,Consumer Food,43.74,N/A,47.5,43,55.05,0,10,"0
                                %",-184.38,0.45 Cr.,700.78 Cr.,37.67 %,-0.67,15.21
https://ticker.finology.in/company/DELAPLEX,Delaplex Ltd.,IT - Software,210.00,N/A,213,210,336,2.96,10,"0
                                %",70.97,11.44 Cr.,0 Cr.,73.66 %,11.06,2.49
https://ticker.finology.in/company/PCJEWELLER,PC Jeweller Ltd.,Diamond  &  Jewellery,16.60,N/A,17.3,16.3,19.6,2.42,1,"0
                                %",6.86,3.06 Cr.,4086.85 Cr.,54.53 %,0.02,-91.97
https://ticker.finology.in/company/UGROCAP,Ugro Capital Ltd.,Finance - NBFC,245.00,N/A,246.45,230.1,314.85,1.17,10,"0
                                %",210.26,1047.96 Cr.,119.34 Cr.,2.23 %,14.07,59.64
https://ticker.finology.in/company/BLAL,BEML Land Assets Ltd.,Construction - Real Estate,234.90,N/A,237.1,229.5,377,496.83,10,"0
                                %",0.47,0.01 Cr.,0 Cr.,54.03 %,-0.99,0
https://ticker.finology.in/company/ASALCBR,Associated Alcohols & Breweries Ltd.,Breweries & Distilleries,1051.05,N/A,1088.4,1050,1149.8,4.2,10,"0.19
                                %",250.1,40.86 Cr.,103.66 Cr.,59.29 %,32,8.42
https://ticker.finology.in/company/GSLSU,Global Surfaces Ltd.,Ceramics/Marble/Granite/Sanitaryware,169.25,N/A,174.15,168.3,331.55,2.1,10,"0
                                %",80.51,0.9 Cr.,41.2 Cr.,73.25 %,4.58,-8.41
https://ticker.finology.in/company/METROPOLIS,Metropolis Healthcare Ltd.,Hospital & Healthcare Services,2067.90,N/A,2070.8,2024,2306.85,9.59,2,"0.19
                                %",215.7,30.46 Cr.,0 Cr.,49.43 %,25.75,3.51
https://ticker.finology.in/company/EMAMILTD,Emami Ltd.,Household & Personal Products,589.65,N/A,593.95,583,855,9.28,1,"1.36
                                %",63.54,91.15 Cr.,7.39 Cr.,54.84 %,18.12,0.51
https://ticker.finology.in/company/PVSL,Popular Vehicles & Services Ltd.,Automobiles - Dealers & Distributors,156.55,N/A,160.55,155.05,296.35,2.27,2,"0.32
                                %",69,35.04 Cr.,171.03 Cr.,61.18 %,2.05,5.18
https://ticker.finology.in/company/RATEGAIN,RateGain Travel Technologies Ltd.,IT - Software,723.50,N/A,727.3,700.05,921.1,6.45,1,"0
                                %",112.17,188.67 Cr.,0 Cr.,48.22 %,5.28,53.07
https://ticker.finology.in/company/FAZE3Q,Faze Three Ltd.,Textile,436.60,N/A,439.6,423.9,580.65,3.16,10,"0
                                %",138.15,67.83 Cr.,156.59 Cr.,56.16 %,13.12,-2.2
https://ticker.finology.in/company/MOHITIND,Mohit Industries Ltd.,Textile,49.39,N/A,54.57,49.39,54.57,1.45,10,"0
                                %",34.06,0.17 Cr.,52.5 Cr.,54.82 %,-1.24,-21.26
https://ticker.finology.in/company/ALEMBICLTD,Alembic Ltd.,Pharmaceuticals & Drugs,133.25,N/A,135.55,132.4,169,4.03,2,"1.8
                                %",33.04,2.19 Cr.,9.15 Cr.,70.88 %,4.88,23.62
