URL,Company Name,Sector,LTP,P/E Ratio,Market Cap (Cr),Enterprise Value (Cr),No. of Shares (Cr),P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth (%)
https://ticker.finology.in/company/SANWARIA,Sanwaria Consumer Ltd.,Edible Oil,0.50,N/A,0.5,0.49,0.61,0,1,"0
                                %",-8.49,0.21 Cr.,913.56 Cr.,15.34 %,-0.05,0
https://ticker.finology.in/company/WINDMACHIN,Windsor Machines Ltd.,Engineering - Industrial Equipments,285.85,N/A,297.3,277.5,290.2,6.93,2,"0.18
                                %",41.24,1.72 Cr.,35.36 Cr.,53.9 %,-3.42,-2.86
https://ticker.finology.in/company/BANARISUG,Bannari Amman Sugars Ltd.,Sugar,3410.20,N/A,3427.4,3392.7,4215,2.47,10,"0.37
                                %",1380.24,6.97 Cr.,485.58 Cr.,58.7 %,104.15,-12.09
https://ticker.finology.in/company/JINDALPHOT,Jindal Photo Ltd.,Finance - Investment,862.10,N/A,950,825.9,977.5,4.65,10,"0
                                %",185.57,20.31 Cr.,15.33 Cr.,74.2 %,13.83,-87.42
https://ticker.finology.in/company/GLOSTERLTD,Gloster Ltd.,Textile,675.00,N/A,690.05,663,998.7,0.64,10,"2.96
                                %",1046.68,0.84 Cr.,64.53 Cr.,72.63 %,34.29,-8.96
https://ticker.finology.in/company/IRISDOREME,Iris Clothings Ltd.,Textile,62.64,N/A,66.51,62.05,90.9,6.77,2,"0
                                %",9.25,1.58 Cr.,34.41 Cr.,70.94 %,1.44,7.89
https://ticker.finology.in/company/HIKAL,Hikal Ltd.,Pharmaceuticals & Drugs,389.25,N/A,397.1,385,416.15,3.99,2,"0.31
                                %",97.59,20.78 Cr.,814.74 Cr.,68.85 %,5.96,-11.79
https://ticker.finology.in/company/MCL,Madhav Copper Ltd.,Metal - Non Ferrous,40.36,N/A,41,39.1,50.9,2.54,5,"0
                                %",15.87,0.22 Cr.,1.04 Cr.,66.34 %,1.98,-100
https://ticker.finology.in/company/SREEL,Sreeleathers Ltd.,Trading,240.80,N/A,242,230,435.95,1.27,10,"0
                                %",190.16,10.53 Cr.,0 Cr.,75 %,9.8,9.03
https://ticker.finology.in/company/PIONEEREMB,Pioneer Embroideries Ltd.,Textile - Spinning,45.21,N/A,46.7,45.11,67,0.89,10,"0
                                %",50.66,1.55 Cr.,104.6 Cr.,32.71 %,1.14,13.33
https://ticker.finology.in/company/LAMBODHARA,Lambodhara Textiles Ltd.,Textile - Spinning,156.15,N/A,161.65,156.15,228.2,1.51,5,"0.32
                                %",103.73,3.45 Cr.,56.84 Cr.,73.17 %,7.09,-7.9
https://ticker.finology.in/company/AMNPLST,Amines & Plasticizers Ltd.,Chemicals,264.10,N/A,268.75,262,359,6.24,2,"0.19
                                %",42.32,36.74 Cr.,85 Cr.,73.17 %,7.3,8.78
https://ticker.finology.in/company/RELCHEMQ,Reliance Chemotex Industries Ltd.,Textile - Spinning,202.00,N/A,238.8,201.65,350.5,1.13,10,"0.5
                                %",179.03,50.59 Cr.,278.76 Cr.,67.68 %,3.36,0.63
